"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"지역사회 ESG 교육 프로그램,폐기물 배출,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영,ESG 관련 캠페인","0.0","0.0","2.0","2","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,폐기물 배출,지역사회 ESG 파트너십,ESG 관련 캠페인,부패예방 및 청렴 강화,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.0","1.0","1","H"
"청정 재생에너지,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,유해 폐기물관리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,청정 재생에너지","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 관련 학생 동아리","0.0","0.0","2.0","2","H"
"회계의 투명성 관리,부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램","0.0","0.0","2.0","2","H"
"인권침해 예방 및 인권보장,회계의 투명성 관리,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 교육과정 및 교수학습 방법,에너지 사용 절감 및 체계적 관리,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 위원회 조직,폐기물 배출,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,청정 재생에너지","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,회계의 투명성 관리,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,회계의 투명성 관리","0.0","0.0","2.0","2","H"
"청정 재생에너지,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직,ESG 관련 캠페인,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,부패예방 및 청렴 강화,회계의 투명성 관리,ESG 위원회 조직,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 관련 학생 동아리,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"폐기물 배출,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 운영위원회의 다양성,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 비교과 프로그램 개발 및 운영,지역사회 ESG 파트너십,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"탄소배출량,ESG 관련 캠페인,ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,폐기물 배출","0.0","0.0","1.0","1","H"
"에너지 사용 절감 및 체계적 관리,청정 재생에너지,폐기물 배출,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"에너지 사용 절감 및 체계적 관리,폐기물 배출","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,ESG 위원회 조직,지역사회 ESG 교육 프로그램,회계의 투명성 관리","0.0","0.0","2.0","2","H"
"ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법,ESG 관련 캠페인,탄소배출량","0.0","0.0","1.0","1","H"
"에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,ESG 위원회 조직,폐기물 배출","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,ESG 관련 학생 동아리,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,청정 재생에너지,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"폐기물 배출,청정 재생에너지,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,탄소배출량","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,ESG 위원회 조직,지역사회 ESG 교육 프로그램,회계의 투명성 관리,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 관련 학생 동아리","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 위원회 조직,회계의 투명성 관리,ESG 관련 학생 동아리,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,ESG 관련 캠페인,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,ESG 관련 학생 동아리,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,청정 재생에너지,지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 관련 학생 동아리,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"에너지 사용 절감 및 체계적 관리,청정 재생에너지,ESG 운영위원회의 다양성,폐기물 배출,지역사회 ESG 교육 프로그램,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 운영위원회의 다양성,회계의 투명성 관리,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"폐기물 배출,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,청정 재생에너지","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"회계의 투명성 관리,ESG 위원회 조직,다양성과 형평성 추진체계","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,캠퍼스 차량","0.0","0.0","2.0","2","H"
"ESG 교육과정 및 교수학습 방법,지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"폐기물 배출,ESG 관련 캠페인,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 비교과 프로그램 개발 및 운영,탄소배출량,지역사회 ESG 교육 프로그램,청정 재생에너지,ESG 관련 학생 동아리,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"청정 재생에너지,ESG 운영위원회의 다양성","0.0","0.0","2.0","2","H"
"회계의 투명성 관리,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 관련 학생 동아리,폐기물 배출,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,폐기물 배출,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"에너지 사용 절감 및 체계적 관리,ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,폐기물 배출,청정 재생에너지","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,ESG 관련 학생 동아리,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 관련 학생 동아리,탄소배출량,청정 재생에너지,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"탄소배출량,청정 재생에너지,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,탄소배출량,청정 재생에너지,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램,청정 재생에너지,ESG 관련 학생 동아리,캠퍼스 차량","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,탄소배출량,청정 재생에너지","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 관련 캠페인,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,탄소배출량,ESG 관련 캠페인,청정 재생에너지","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 관련 캠페인,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,ESG 관련 캠페인,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 관련 캠페인,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십,폐기물 배출,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,폐기물 배출,청정 재생에너지,ESG 운영위원회의 다양성,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,부패예방 및 청렴 강화,회계의 투명성 관리,ESG 운영위원회의 다양성","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,작업장의 건강 및 안전","0.0","0.0","2.0","2","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,폐기물 배출,지역사회 ESG 교육 프로그램,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,폐기물 배출,지역사회 ESG 교육 프로그램","0.0","0.0","2.0","2","H"
"ESG 운영위원회의 다양성,ESG 위원회 조직,부패예방 및 청렴 강화","0.0","0.0","2.0","2","H"
"회계의 투명성 관리,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,회계의 투명성 관리,폐기물 배출,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 관련 학생 동아리,ESG 비교과 프로그램 개발 및 운영,지역사회 ESG 파트너십,탄소배출량,ESG 운영위원회의 다양성,폐기물 배출","0.0","0.0","1.0","1","H"
"ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 교육과정 및 교수학습 방법,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 교육과정 및 교수학습 방법,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,부패예방 및 청렴 강화,지역사회 ESG 파트너십,회계의 투명성 관리,폐기물 배출,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,청정 재생에너지,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,폐기물 배출,청정 재생에너지,지역사회 ESG 파트너십,ESG 관련 학생 동아리,에너지 사용 절감 및 체계적 관리,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"폐기물 배출,청정 재생에너지,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 운영위원회의 다양성,회계의 투명성 관리,ESG 위원회 조직,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"ESG 교육과정 및 교수학습 방법,ESG 관련 학생 동아리,ESG 관련 캠페인,ESG 비교과 프로그램 개발 및 운영,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,지역사회 ESG 파트너십,부패예방 및 청렴 강화,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"폐기물 배출,지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 관련 캠페인,부패예방 및 청렴 강화,청정 재생에너지,탄소배출량","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 관련 캠페인,부패예방 및 청렴 강화,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,회계의 투명성 관리,폐기물 배출","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 관련 캠페인,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,부패예방 및 청렴 강화,ESG 운영위원회의 다양성,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,지역사회 ESG 파트너십,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 위원회 조직,ESG 관련 학생 동아리,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"청정 재생에너지,탄소배출량,폐기물 배출,ESG 관련 캠페인,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램,ESG 비교과 프로그램 개발 및 운영,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,회계의 투명성 관리,지역사회 ESG 교육 프로그램","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,ESG 운영위원회의 다양성,작업장의 건강 및 안전","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 운영위원회의 다양성,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십,ESG 위원회 조직,ESG 관련 학생 동아리,청정 재생에너지","0.0","0.0","1.0","1","H"
"폐기물 배출,유해 폐기물관리,ESG 관련 캠페인,청정 재생에너지,탄소배출량,지역사회 ESG 파트너십,음식물 쓰레기 저감,캠퍼스 차량,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,부패예방 및 청렴 강화,ESG 관련 캠페인,회계의 투명성 관리,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 캠페인,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,탄소배출량","0.0","0.0","2.0","2","H"
"ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"ESG 교육과정 및 교수학습 방법,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 위원회 조직,회계의 투명성 관리,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,청정 재생에너지,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"청정 재생에너지,ESG 위원회 조직,탄소배출량,ESG 비교과 프로그램 개발 및 운영,에너지 사용 절감 및 체계적 관리,폐기물 배출,ESG 관련 캠페인,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,회계의 투명성 관리,ESG 운영위원회의 다양성,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 운영위원회의 다양성,ESG 위원회 조직,지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,ESG 운영위원회의 다양성,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 관련 캠페인","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리,ESG 위원회 조직,부패예방 및 청렴 강화,에너지 사용 절감 및 체계적 관리,폐기물 배출","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,탄소배출량,폐기물 배출,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 운영위원회의 다양성,지역사회 ESG 파트너십,폐기물 배출,청정 재생에너지,ESG 관련 학생 동아리,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 운영위원회의 다양성,ESG 관련 캠페인,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"탄소배출량,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,청정 재생에너지,지역사회 ESG 교육 프로그램","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 운영위원회의 다양성,ESG 관련 캠페인,ESG 관련 학생 동아리,회계의 투명성 관리,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,ESG 위원회 조직,지역사회 ESG 교육 프로그램,회계의 투명성 관리,ESG 운영위원회의 다양성,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,폐기물 배출,지역사회 ESG 파트너십","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,ESG 관련 학생 동아리,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 교육과정 및 교수학습 방법,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"폐기물 배출,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 파트너십,부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"청정 재생에너지,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,폐기물 배출,ESG 운영위원회의 다양성,ESG 관련 캠페인,ESG 관련 학생 동아리,청정 재생에너지,ESG 위원회 조직,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,에너지 사용 절감 및 체계적 관리,ESG 교육과정 및 교수학습 방법","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,폐기물 배출,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"회계의 투명성 관리,ESG 위원회 조직,부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,ESG 관련 캠페인,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 위원회 조직,ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,ESG 위원회 조직,부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램","0.0","0.0","2.0","2","H"
"ESG 위원회 조직,에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,청정 재생에너지,회계의 투명성 관리,부패예방 및 청렴 강화,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 관련 캠페인,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,부패예방 및 청렴 강화,회계의 투명성 관리,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"ESG 위원회 조직,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,회계의 투명성 관리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,ESG 관련 캠페인,ESG 관련 학생 동아리,부패예방 및 청렴 강화,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,ESG 관련 학생 동아리,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.0","1.0","1","H"
"폐기물 배출,에너지 사용 절감 및 체계적 관리","0.0","0.0","1.0","1","H"
"청정 재생에너지,에너지 사용 절감 및 체계적 관리,ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,캠퍼스 차량","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,부패예방 및 청렴 강화,ESG 관련 캠페인,ESG 위원회 조직,ESG 운영위원회의 다양성,폐기물 배출","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영","0.0","0.0","2.0","2","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,ESG 운영위원회의 다양성,회계의 투명성 관리,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"회계의 투명성 관리,지역사회 ESG 교육 프로그램,ESG 위원회 조직","0.0","0.0","1.0","1","H"
"ESG 관련 캠페인,ESG 관련 학생 동아리,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램","0.0","0.0","1.0","1","H"
"부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"청정 재생에너지,ESG 운영위원회의 다양성,에너지 사용 절감 및 체계적 관리,ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,지역사회 ESG 파트너십","0.0","0.0","1.0","1","H"
"청정 재생에너지,지역사회 ESG 교육 프로그램,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"폐기물 배출,ESG 관련 캠페인,ESG 위원회 조직,지역사회 ESG 교육 프로그램,청정 재생에너지,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,부패예방 및 청렴 강화,회계의 투명성 관리,지역사회 ESG 파트너십,ESG 운영위원회의 다양성,ESG 관련 학생 동아리","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십,부패예방 및 청렴 강화,ESG 위원회 조직,ESG 운영위원회의 다양성","0.0","0.0","1.0","1","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 캠페인,지역사회 ESG 파트너십,ESG 관련 학생 동아리,ESG 비교과 프로그램 개발 및 운영,ESG 위원회 조직","0.0","0.0","1.0","1","H"
