title,matched_categories_ml,matched_scores_ml,source
"라이나생명, '나눔의 가치' 이어가...사회공헌기금 100억원 출연","지역사회 ESG 파트너십,ESG 위원회 조직","0.494,0.41",industry_risk
"진천군의회, CJ 블로썸캠퍼스서 현장 소통",,,industry_risk
"하나금융, 해외 현지 직원 65명과 ESG 경영 활동 공유",,,industry_risk
계묘년 단체장에게 듣는다…이강덕 포항시장,,,industry_risk
"포항시, 미래핵심 신성장산업 확보 적극",,,industry_risk
"포항시, 미래 핵심 신성장산업 확장 위한 용지 확보에 적극 나서",,,industry_risk
"현대건설, '힐스테이트 천안역 스카이움' 분양",,,industry_risk
[포항시정] 미래핵심 신성장산업 용지 확보 대책회의 개최 外,,,industry_risk
"익산시, 전략적 도시개발 '척척'",,,industry_risk
"익산시, 권역별 도시개발로 '제2의 부흥 선도'",,,industry_risk
"[기고] 지방소멸, 평생교육에서 희망을 본다",,,industry_risk
옥상엔 태양광·에어컨 대신 칠드빔… 곳곳에 에너지 전략 접목 [심층기...,"ESG 운영위원회의 다양성,ESG 관련 캠페인,에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램,청정 재생에너지,ESG 관련 학생 동아리,캠퍼스 차량","0.476,0.467,0.442,0.44,0.436,0.429,0.402",industry_risk
"부천시, '365일 소통·참여 열린 도시' 등 5대 시정계획 추진",,,industry_risk
"부천시, 5대 시정계획 추진…“자족도시 실현”",,,industry_risk
"익산시, 권역별 도시개발 성장 발판 마련 지역발전 견인",,,industry_risk
"익산시, 권역별 도시개발로 '새로운 지도 그린다'",,,industry_risk
익산시 권역별 도시개발로 제2의 부흥 이끈다,,,industry_risk
"경북, 제약바이오융합산업 메카 넘본다",,,industry_risk
"경북도, 안동·포항 중심 바이오산업 육성 가속…올해 584억 투입",,,industry_risk
"경북도, 올해 첨단 바이오산업 육성 위해 584억원 투입",,,industry_risk
부천시 '일자리 2만개 창출' 업무계획 발표,,,industry_risk
"부천시, 첨단기업 유치·일자리 2만개 창출...경제도약 본격화",,,industry_risk
"부천시, 경제 도약 위해 실물경제·일자리 챙긴다",,,industry_risk
"부천시, 실물경제·일자리 챙기기 본격화..경제도약 업무계획 발표",,,industry_risk
부천시 일자리 2만개 창출 ‘돌입’…소상공인 육성,,,industry_risk
"삼성전자, 한파부터 폭염 대비...에어컨 '무풍지대' 확장한다",,,industry_risk
"삼성 2023년형 에어컨, AI로 에너지 절약·캄테크 잡는다",에너지 사용 절감 및 체계적 관리,0.415,industry_risk
"""대세는 무풍"" 삼성전자 스탠드 에어컨 3세대 시장 출격",,,industry_risk
'친환경·초연결'로 진화…삼성전자 '무풍에어컨' 신제품 공개,,,industry_risk
"더 스마트해진 삼성 무풍에어컨…""월 전기료 7천원 절감""",,,industry_risk
"경북도, 첨단 바이오산업 미래 활짝 열어",,,industry_risk
[전북의 창] 익산 “권역별 개발로 제2의 부흥을”,,,industry_risk
"경북도, 지역 특화형 제약바이오 신산업 육성 ‘박차’",,,industry_risk
"부천시, 경제도약 업무계획 발표",,,industry_risk
새롭게 도약하는 부천 '청사진',,,industry_risk
"부천시, 새해 5대 시정계획 발표",,,industry_risk
이강덕 포항시장 “세계로 도약하는 포항 만들 것”,,,industry_risk
"포항시장 ""이차전지·바이오·수소 신산업 통해 시대변화 대응""",,,industry_risk
이강덕 포항시장 “창의적 융합과 혁신으로 세계로 도약하는 포항 만들...,,,industry_risk
[신년사] 이강덕 시장 “창의적 융합·혁신 … 세계로 도약하는 포항 만...,,,industry_risk
"""창의·융합·혁신, 세계로 도약하는 포항""",,,industry_risk
경북에서 바이오 산업 생태계 전주기 구축된다···올해 예산 총 584억원...,,,industry_risk
"경북도, 첨단 바이오산업 미래를 열다",,,industry_risk
5년내 식량자급률 44%→55%…'온라인 가락시장' 만든다,,,industry_risk
2027년까지 식량자급률 55.5%…올해 농식품 수출 100억불 달성,,,industry_risk
식량자급률 44%→55% 끌어올린다,,,industry_risk
"포항시, 세계적인 바이오 허브 도시 조성 박차 가한다",,,industry_risk
"포항시, 창의·융합·혁신 … ‘세계적인 바이오 허브 도시’ 꿈 이룬다...",,,industry_risk
"포항시, 올해 세계적 '바이오 허브도시' 도약 박차",,,industry_risk
"포항, 세계적 '바이오 허브도시' 꿈꾼다",,,industry_risk
"포항시, 바이오 허브 도시 도약 ‘탄력’",,,industry_risk
"삼성전자, 반도체 탄소배출 '전과정평가' 검증 완료",ESG 비교과 프로그램 개발 및 운영,0.411,industry_risk
중랑구·강북구 '2023년 신년인사회' 개최,,,industry_risk
유니티가 꼽은 새해 PC 콘솔 기대작 7선,,,industry_risk
